Access_to_Resources,Previous_Scores,Hours_Studied,Parental_Involvement,Attendance,Exam_Score
3,1.4519224891647229,-0.3276718692774311,1,1.297771762146871,70
2,-1.1819294360684915,-0.6608288794514952,3,0.7785884327405795,67
3,-1.389865114376377,-0.6608288794514952,2,-0.9520226652803923,62
3,0.20430841931741084,-1.4937214048866554,2,-1.2981448848845867,63
3,-1.2512413288377866,0.17206364598366505,2,1.297771762146871,69
3,1.1746749180875424,1.1715346765058574,3,-1.4712059946866838,68
3,-1.6671126854535574,0.6717991612447612,2,-0.0001865613688577924,68
3,-0.48881050837554035,-0.6608288794514952,3,-1.211614329983538,65
3,1.4519224891647229,-0.16109336419039905,3,-0.43283933587410073,70
1,-1.459177007145672,0.17206364598366505,2,-1.4712059946866838,62
2,-1.2512413288377866,-0.4942503743644631,2,-1.038553220181441,62
2,0.34293220485600107,0.3386421510706971,3,-1.644267104488781,67
2,0.4815559903945913,-1.4937214048866554,2,0.0863439935321908,67
2,0.6894916687024767,0.5052206561577292,2,0.0863439935321908,68
2,0.5508678831638865,0.005485140896633007,2,0.8651189876416281,69
1,-1.1126175432991965,0.6717991612447612,2,-0.3463087809730522,66
1,0.897427347010362,0.005485140896633007,3,0.8651189876416281,69
3,0.6894916687024767,-0.6608288794514952,1,-0.8654921103793437,64
3,-0.6967461866834257,-0.8274073845385272,2,-0.43283933587410073,66
2,1.3132987036261328,-2.3266139303218156,3,-0.9520226652803923,63
2,-0.8353699722220159,0.3386421510706971,3,-0.08671711626990639,68
2,-1.3205532216070817,-1.1605643947125914,3,0.17287454843323938,67
1,0.4815559903945913,0.3386421510706971,3,-1.2981448848845867,66
2,0.0656846337788206,0.5052206561577292,2,-1.211614329983538,64
3,-1.1126175432991965,-2.826349445582912,3,1.3843023170479196,66
3,-0.6967461866834257,-0.3276718692774311,2,0.25940510333428796,68
1,-0.41949861560624524,0.8383776663317932,1,-0.6059004456761979,66
3,-0.9046818649913111,-0.9939858896255593,1,-0.9520226652803923,63
1,-1.3205532216070817,-1.1605643947125914,3,1.5573634268500167,67
