age,education_num,occupation,sex,hours_per_week,marital_status_Married,marital_status_Never-married,marital_status_Separated,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,workclass_Government,workclass_Not-working,workclass_Private,workclass_Self-employed,workclass_Unknown,capital_net_log,income
-0.5823420118942825,-0.22188044970445114,0.3048245614035088,0,-0.1737283500398058,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.18989883357857779,0
0.7283139680537439,1.316538269308292,0.44848935116394256,1,-0.1737283500398058,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-2.224344980152887,1
-1.7388031706719527,-0.22188044970445114,0.10297356828193832,1,0.4769998050225877,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.18989883357857779,0
1.2679958421499902,-0.22188044970445114,0.22531017369727047,1,-0.1737283500398058,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.18989883357857779,1
-0.19685495896839234,0.9319335895551062,0.27064732142857145,1,-0.1737283500398058,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.18989883357857779,1
-0.8907316542349946,-0.6064851294576369,0.13383499059392637,1,-0.9871385438677978,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.18989883357857779,0
0.7283139680537439,-0.22188044970445114,0.3048245614035088,1,0.23297674687419015,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.18989883357857779,1
1.3450932527351682,-0.6064851294576369,0.12461851475076297,1,-0.1737283500398058,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.18989883357857779,0
-0.9678290648201725,0.9319335895551062,0.44848935116394256,0,-1.4751846601645928,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-2.224344980152887,1
-0.19685495896839234,0.9319335895551062,0.13383499059392637,1,0.6396818437881862,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2.194525225459851,1
-0.7365368330646385,0.9319335895551062,0.27064732142857145,1,0.4769998050225877,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.18989883357857779,0
0.18863209395749778,-0.6064851294576369,0.11627906976744186,1,-0.9871385438677978,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.18989883357857779,0
